Year,Company,Corpus,text_length,Corpus_token,Corpus_string,Corpus_string_fdist,Corpus_string_lem,is_equal,neg,neu,pos,compound,Sentiment
2018,Amazon,i'm excited to see amazon's new headquarters in virginia. i think it's a smart move for the company and will bring a lot of jobs to the area.,141,"['excited', 'see', 'amazon', 'new', 'headquarters', 'virginia', 'think', 'smart', 'move', 'company', 'bring', 'lot', 'jobs', 'area']",excited see amazon new headquarters virginia think smart move company bring lot jobs area,excited see amazon new headquarters virginia think smart move company bring lot jobs area,excited see amazon new headquarters virginia think smart move company bring lot jobs area,True,0.0,0.618,0.382,0.7003,positive
2015,Apple,"i'm so disappointed in apple's new product lineup. they used to be so innovative, but now they're just copying everyone else.",125,"['disappointed', 'apple', 'new', 'product', 'lineup', 'used', 'innovative', 'copying', 'everyone', 'else']",disappointed apple new product lineup used innovative copying everyone else,disappointed apple new product lineup used innovative copying everyone else,disappointed apple new product lineup used innovative copying everyone else,True,0.221,0.571,0.207,-0.0516,negative
2017,Tesla,just bought some tesla stock and i'm feeling really good about it. i think elon musk is a visionary and the company has a lot of potential.,139,"['bought', 'tesla', 'stock', 'feeling', 'really', 'good', 'think', 'elon', 'musk', 'visionary', 'company', 'lot', 'potential']",bought tesla stock feeling really good think elon musk visionary company lot potential,bought tesla stock feeling really good think elon musk visionary company lot potential,bought tesla stock feeling really good think elon musk visionary company lot potential,True,0.0,0.553,0.447,0.796,positive
2019,Netflix,"just finished binge-watching the latest netflix series. it was okay, but not as good as some of their other shows.",114,"['finished', 'binge', 'watching', 'latest', 'netflix', 'series', 'okay', 'good', 'shows']",finished binge watching latest netflix series okay good shows,finished binge watching latest netflix series okay good shows,finished binge watching latest netflix series okay good shows,True,0.0,0.593,0.407,0.5859,positive
2016,Facebook,i'm loving all the new features on facebook. it's such a great way to stay connected with friends and family.,109,"['loving', 'new', 'features', 'facebook', 'great', 'way', 'stay', 'connected', 'friends', 'family']",loving new features facebook great way stay connected friends family,loving new features facebook great way stay connected friends family,loving new features facebook great way stay connected friends family,True,0.0,0.387,0.613,0.9022,positive
2017,Amazon,i'm so frustrated with amazon's shipping policies. they keep pushing back delivery dates and it's really affecting my business.,127,"['frustrated', 'amazon', 'shipping', 'policies', 'keep', 'pushing', 'back', 'delivery', 'dates', 'really', 'affecting', 'business']",frustrated amazon shipping policies keep pushing back delivery dates really affecting business,frustrated amazon shipping policies keep pushing back delivery dates really affecting business,frustrated amazon shipping policies keep pushing back delivery dates really affecting business,True,0.225,0.662,0.113,-0.4019,negative
2019,Tesla,i can't believe how poorly tesla is doing. their stock keeps dropping and i'm starting to regret investing in them.,115,"['believe', 'poorly', 'tesla', 'stock', 'keeps', 'dropping', 'starting', 'regret', 'investing']",believe poorly tesla stock keeps dropping starting regret investing,believe poorly tesla stock keeps dropping starting regret investing,believe poorly tesla stock keeps dropping starting regret investing,True,0.259,0.741,0.0,-0.4215,negative
2020,Apple,i'm really impressed with apple's new iphone lineup. the cameras are amazing and the new designs are sleek and modern.,118,"['really', 'impressed', 'apple', 'new', 'iphone', 'lineup', 'cameras', 'amazing', 'new', 'designs', 'sleek', 'modern']",really impressed apple new iphone lineup cameras amazing new designs sleek modern,really impressed apple new iphone lineup cameras amazing new designs sleek modern,really impressed apple new iphone lineup cameras amazing new designs sleek modern,True,0.0,0.582,0.418,0.8016,positive
2018,Netflix,i just watched a documentary on netflix that was so inspiring. i love how they're using their platform to promote important messages.,133,"['watched', 'documentary', 'netflix', 'inspiring', 'love', 'using', 'platform', 'promote', 'important', 'messages']",watched documentary netflix inspiring love using platform promote important messages,watched documentary netflix inspiring love using platform promote important messages,watched documentary netflix inspiring love using platform promote important messages,True,0.0,0.345,0.655,0.886,positive
2016,Facebook,i'm getting really tired of all the political posts on facebook. it's ruining the platform for me.,98,"['getting', 'really', 'tired', 'political', 'posts', 'facebook', 'ruining', 'platform']",getting really tired political posts facebook ruining platform,getting really tired political posts facebook ruining platform,getting really tired political posts facebook ruining platform,True,0.464,0.536,0.0,-0.6361,negative
2019,Amazon,i just got my hands on the new amazon echo and it's amazing. the sound quality is so much better than the previous version.,123,"['got', 'hands', 'new', 'amazon', 'echo', 'amazing', 'sound', 'quality', 'much', 'better', 'previous', 'version']",got hands new amazon echo amazing sound quality much better previous version,got hands new amazon echo amazing sound quality much better previous version,got hands new amazon echo amazing sound quality much better previous version,True,0.0,0.517,0.483,0.8126,positive
2017,Tesla,"i'm not really sure what to think of tesla's new electric semi-truck. it's definitely innovative, but i'm not sure how practical it will be.",140,"['really', 'sure', 'think', 'tesla', 'new', 'electric', 'semi', 'truck', 'definitely', 'innovative', 'sure', 'practical']",really sure think tesla new electric semi truck definitely innovative sure practical,really sure think tesla new electric semi truck definitely innovative sure practical,really sure think tesla new electric semi truck definitely innovative sure practical,True,0.0,0.426,0.574,0.8685,positive
2018,Netflix,i'm so annoyed with netflix's autoplay feature. i wish they would let me choose when to start the next episode.,111,"['annoyed', 'netflix', 'autoplay', 'feature', 'wish', 'would', 'let', 'choose', 'start', 'next', 'episode']",annoyed netflix autoplay feature wish would let choose start next episode,annoyed netflix autoplay feature wish would let choose start next episode,annoyed netflix autoplay feature wish would let choose start next episode,True,0.182,0.629,0.189,0.0258,positive
2016,Apple,i'm so excited for the new apple watch. it looks like it's going to be a game-changer for fitness enthusiasts.,110,"['excited', 'new', 'apple', 'watch', 'looks', 'like', 'going', 'game', 'changer', 'fitness', 'enthusiasts']",excited new apple watch looks like going game changer fitness enthusiasts,excited new apple watch looks like going game changer fitness enthusiasts,excited new apple watch looks like going game changer fitness enthusiasts,True,0.0,0.427,0.573,0.8126,positive
2019,Facebook,i'm really concerned about facebook's privacy policies. i don't feel comfortable sharing my personal information with them anymore.,131,"['really', 'concerned', 'facebook', 'privacy', 'policies', 'feel', 'comfortable', 'sharing', 'personal', 'information', 'anymore']",really concerned facebook privacy policies feel comfortable sharing personal information anymore,really concerned facebook privacy policies feel comfortable sharing personal information anymore,really concerned facebook privacy policies feel comfortable sharing personal information anymore,True,0.0,0.596,0.404,0.7269,positive
2020,Amazon,i just ordered some new furniture from amazon and it arrived in two days! their shipping is so fast and reliable.,113,"['ordered', 'new', 'furniture', 'amazon', 'arrived', 'two', 'days', 'shipping', 'fast', 'reliable']",ordered new furniture amazon arrived two days shipping fast reliable,ordered new furniture amazon arrived two days shipping fast reliable,ordered new furniture amazon arrived two days shipping fast reliable,True,0.0,0.841,0.159,0.1779,positive
2017,Tesla,i just test drove a tesla and it was amazing. the acceleration was so smooth and the technology is top-notch.,109,"['test', 'drove', 'tesla', 'amazing', 'acceleration', 'smooth', 'technology', 'top', 'notch']",test drove tesla amazing acceleration smooth technology top notch,test drove tesla amazing acceleration smooth technology top notch,test drove tesla amazing acceleration smooth technology top notch,True,0.0,0.556,0.444,0.6808,positive
2016,Netflix,i'm so happy that netflix picked up my favorite show for another season. i can't wait to see what happens next.,111,"['happy', 'netflix', 'picked', 'favorite', 'show', 'another', 'season', 'wait', 'see', 'happens', 'next']",happy netflix picked favorite show another season wait see happens next,happy netflix picked favorite show another season wait see happens next,happy netflix picked favorite show another season wait see happens next,True,0.0,0.573,0.427,0.7717,positive
2018,Facebook,i'm so sick of all the fake news on facebook. they need to do more to combat misinformation.,92,"['sick', 'fake', 'news', 'facebook', 'need', 'combat', 'misinformation']",sick fake news facebook need combat misinformation,sick fake news facebook need combat misinformation,sick fake news facebook need combat misinformation,True,0.787,0.213,0.0,-0.8779,negative
2015,Apple,just made a killing on my apple stock! the new iphone release is driving up the prices.,87,"['made', 'killing', 'apple', 'stock', 'new', 'iphone', 'release', 'driving', 'prices']",made killing apple stock new iphone release driving prices,made killing apple stock new iphone release driving prices,made killing apple stock new iphone release driving prices,True,0.355,0.645,0.0,-0.6597,negative
2015,Tesla,feeling devastated after losing a significant amount on my tesla investment.,76,"['feeling', 'devastated', 'losing', 'significant', 'amount', 'tesla', 'investment']",feeling devastated losing significant amount tesla investment,feeling devastated losing significant amount tesla investment,feeling devastated losing significant amount tesla investment,True,0.512,0.233,0.256,-0.6486,negative
2015,Amazon,invested in amazon stocks and couldn't be happier. the company's growth is unstoppable.,87,"['invested', 'amazon', 'stocks', 'happier', 'company', 'growth', 'unstoppable']",invested amazon stocks happier company growth unstoppable,invested amazon stocks happier company growth unstoppable,invested amazon stocks happier company growth unstoppable,True,0.144,0.24,0.616,0.7096,positive
2015,Google,just bought some google stocks. hoping for a decent return in the near future.,78,"['bought', 'google', 'stocks', 'hoping', 'decent', 'return', 'near', 'future']",bought google stocks hoping decent return near future,bought google stocks hoping decent return near future,bought google stocks hoping decent return near future,True,0.0,0.714,0.286,0.4215,positive
2015,Microsoft,excited about the new product launch from microsoft. their stock might soar!,76,"['excited', 'new', 'product', 'launch', 'microsoft', 'stock', 'might', 'soar']",excited new product launch microsoft stock might soar,excited new product launch microsoft stock might soar,excited new product launch microsoft stock might soar,True,0.0,0.745,0.255,0.34,positive
2015,IBM,sold my ibm stocks today. the company's performance is disappointing.,69,"['sold', 'ibm', 'stocks', 'today', 'company', 'performance', 'disappointing']",sold ibm stocks today company performance disappointing,sold ibm stocks today company performance disappointing,sold ibm stocks today company performance disappointing,True,0.348,0.652,0.0,-0.4939,negative
2015,Apple,just bought some aapl shares! excited to see how this goes. #apple #stocks #investing,85,"['bought', 'aapl', 'shares', 'excited', 'see', 'goes', 'apple', 'stocks', 'investing']",bought aapl shares excited see goes apple stocks investing,bought aapl shares excited see goes apple stocks investing,bought aapl shares excited see goes apple stocks investing,True,0.0,0.603,0.397,0.5574,positive
